Model,Defense Type,Blacklist Size,Original Top-10 Success Rate,New Top-10 Success Rate,Absolute Reduction,Relative Reduction
uniform,Weak PIN Blacklisting,10,0.00038749999999999993,0.00037514536883042184,1.2354631169578093e-05,0.03188291914729831
uniform,Weak PIN Blacklisting,50,0.00038749999999999993,0.0003757091510225552,1.1790848977444735e-05,0.03042799736114771
uniform,Weak PIN Blacklisting,100,0.00038749999999999993,0.0002508969566199162,0.0001366030433800837,0.3525239829163451
uniform,Weak PIN Blacklisting,500,0.00038749999999999993,0.0002534404541652938,0.0001340595458347061,0.3459601182831126
biased,Weak PIN Blacklisting,10,0.19724999999999995,0.14579570227343508,0.051454297726564874,0.26085829012200196
biased,Weak PIN Blacklisting,50,0.19724999999999995,0.016293065486799888,0.18095693451320005,0.9173989075447406
biased,Weak PIN Blacklisting,100,0.19724999999999995,0.01527064491205745,0.1819793550879425,0.9225822818146643
biased,Weak PIN Blacklisting,500,0.19724999999999995,0.0009983028850953381,0.19625169711490462,0.9949388953860819
leakage,Weak PIN Blacklisting,10,0.1370625,0.09440139059897154,0.04266110940102846,0.3112529641661903
leakage,Weak PIN Blacklisting,50,0.1370625,0.01769125561732891,0.11937124438267109,0.8709256316109154
leakage,Weak PIN Blacklisting,100,0.1370625,0.01706385371623587,0.11999864628376414,0.875503119261389
leakage,Weak PIN Blacklisting,500,0.1370625,0.0015815634884771802,0.13548093651152282,0.9884610051000297
