model,defense,blacklist_size,evaluation_k,original_topk_success,new_topk_success,absolute_reduction,relative_reduction_percent
uniform,weak_pin_blacklisting,10,10,0.00031000000000000005,0.00030009302883894005,9.90697116106e-06,3.195797148729032
uniform,weak_pin_blacklisting,50,10,0.00031000000000000005,0.0003004536850644473,9.546314935552768e-06,3.079456430823473
uniform,weak_pin_blacklisting,100,10,0.00031000000000000005,0.00030090572623597025,9.094273764029802e-06,2.933636698074129
uniform,weak_pin_blacklisting,500,10,0.00031000000000000005,0.00020236360692892988,0.00010763639307107017,34.72141711970005
biased,weak_pin_blacklisting,10,10,0.19828,0.14692161852018162,0.05135838147981839,25.901947488308647
biased,weak_pin_blacklisting,50,10,0.19828,0.01212201944851472,0.1861579805514853,93.8864134312514
biased,weak_pin_blacklisting,100,10,0.19828,0.011663662389990455,0.18661633761000956,94.1175799929441
biased,weak_pin_blacklisting,500,10,0.19828,0.0007929899686768963,0.19748701003132313,99.60006557964653
leakage,weak_pin_blacklisting,10,10,0.30095000000000005,0.1991273871682998,0.10182261283170024,33.833730796378205
leakage,weak_pin_blacklisting,50,10,0.30095000000000005,0.012698040136134256,0.2882519598638658,95.7806811310403
leakage,weak_pin_blacklisting,100,10,0.30095000000000005,0.01163109946337202,0.289318900536628,96.13520536189665
leakage,weak_pin_blacklisting,500,10,0.30095000000000005,0.0008491126772522713,0.30010088732274776,99.71785589724131
