Model,PIN Length,Defense Type,Blacklist Size,Original Top-10 Success Rate,New Top-10 Success Rate,Absolute Reduction,Relative Reduction
uniform,6,Weak PIN Blacklisting,10,0.00031000000000000005,0.00030009302883894005,9.90697116106e-06,0.03195797148729032
uniform,6,Weak PIN Blacklisting,50,0.00031000000000000005,0.0003004536850644473,9.546314935552768e-06,0.03079456430823473
uniform,6,Weak PIN Blacklisting,100,0.00031000000000000005,0.00030090572623597025,9.094273764029802e-06,0.02933636698074129
uniform,6,Weak PIN Blacklisting,500,0.00031000000000000005,0.00020236360692892988,0.00010763639307107017,0.3472141711970005
biased,6,Weak PIN Blacklisting,10,0.39456,0.40814944503171263,-0.01358944503171261,-0.03444202410713861
biased,6,Weak PIN Blacklisting,50,0.39456,0.0009158767229930851,0.39364412327700693,0.997678739043509
biased,6,Weak PIN Blacklisting,100,0.39456,0.000920090168836546,0.3936399098311635,0.9976680601965822
biased,6,Weak PIN Blacklisting,500,0.39456,0.0004720543806646526,0.39408794561933536,0.9988035929119408
leakage,6,Weak PIN Blacklisting,10,0.5954499999999999,0.31066617229019894,0.284783827709801,0.47826656765438075
leakage,6,Weak PIN Blacklisting,50,0.5954499999999999,0.0020181634712411706,0.5934318365287587,0.9966106919619764
leakage,6,Weak PIN Blacklisting,100,0.5954499999999999,0.001017915309446254,0.5944320846905536,0.9982905108582647
leakage,6,Weak PIN Blacklisting,500,0.5954499999999999,0.0010611205432937184,0.5943888794567062,0.9982179518963914
