Timestamp,"Question 1: When asked to create a new 6-digit PIN for a non-critical app, which strategy are you most likely to use? ","Question 2: If you (or people you know) use a date of birth for a 6-digit PIN, which format is the most common?  
( e.g., March 5th, 1998 )",Question 3: Do you tend to reuse the same 6-digit PIN across multiple different apps and services?  ,"Question 4: (Risk Perception) If an acquaintance knew your basic personal info (Date of Birth, phone number, graduation year), do you think they could guess your phone's PIN within 10 attempts?  "
3/27/2026 21:01:40,Completely random numbers with no underlying pattern.,"The 4-digit birth year padded with zeros (e.g., -> 199800 or 001998).","Rarely (I try to make them different, but sometimes reuse).","Absolutely not, my PIN is completely unrelated to my personal information."
3/27/2026 21:03:09,"A date (my own birthday, a partner's, or a family member's).","DDMMYY (e.g., -> 050398).",Always (I use one primary PIN for almost everything).,"Yes, it is highly likely they would guess it."
3/27/2026 21:03:26,"A date (my own birthday, a partner's, or a family member's).","DDMMYY (e.g., -> 050398).",Always (I use one primary PIN for almost everything).,"Yes, it is highly likely they would guess it."
3/27/2026 21:04:42,Completely random numbers with no underlying pattern.,I/They never use dates.,"Never (Every app gets a unique, randomly generated PIN).","Absolutely not, my PIN is completely unrelated to my personal information."
3/27/2026 21:05:04,"Numbers with cultural or personal significance (e.g., lucky numbers, 000000).","DDMMYY (e.g., -> 050398).",Often (I reuse a few favorite PINs).,"Maybe, it's possible but would require luck."
3/27/2026 21:05:38,"A date (my own birthday, a partner's, or a family member's).","MMDDYY (e.g., -> 980305).",Always (I use one primary PIN for almost everything).,"Maybe, it's possible but would require luck."
3/27/2026 21:07:10,"Repeated digits for speed (e.g., 111111, 222222).","DDMMYY (e.g., -> 050398).",Often (I reuse a few favorite PINs).,"Maybe, it's possible but would require luck."
3/27/2026 21:07:28,A significant anniversary or historical date.,"DDMMYY (e.g., -> 050398).",Always (I use one primary PIN for almost everything).,"Yes, it is highly likely they would guess it."
3/27/2026 21:07:29,Completely random numbers with no underlying pattern.,"DDMMYY (e.g., -> 050398).",Often (I reuse a few favorite PINs).,"Absolutely not, my PIN is completely unrelated to my personal information."
3/27/2026 21:08:02,"A date (my own birthday, a partner's, or a family member's).","DDMMYY (e.g., -> 050398).",Often (I reuse a few favorite PINs).,"Yes, it is highly likely they would guess it."
3/27/2026 21:08:49,"Numbers with cultural or personal significance (e.g., lucky numbers, 000000).","DDMMYY (e.g., -> 050398).",Always (I use one primary PIN for almost everything).,"Absolutely not, my PIN is completely unrelated to my personal information."
3/27/2026 21:17:08,A significant anniversary or historical date.,"DDMMYY (e.g., -> 050398).",Often (I reuse a few favorite PINs).,"Maybe, it's possible but would require luck."
3/27/2026 21:17:34,"A date (my own birthday, a partner's, or a family member's).","MMDDYY (e.g., -> 980305).",Always (I use one primary PIN for almost everything).,"Maybe, it's possible but would require luck."
3/27/2026 21:17:57,,"DDMMYY (e.g., -> 050398).",Always (I use one primary PIN for almost everything).,"Yes, it is highly likely they would guess it."
3/27/2026 21:18:09,"A date (my own birthday, a partner's, or a family member's).","DDMMYY (e.g., -> 050398).",Always (I use one primary PIN for almost everything).,"Yes, it is highly likely they would guess it."
3/27/2026 21:18:34,"A date (my own birthday, a partner's, or a family member's).","DDMMYY (e.g., -> 050398).",Always (I use one primary PIN for almost everything).,"Absolutely not, my PIN is completely unrelated to my personal information."
3/27/2026 21:18:49,A significant anniversary or historical date.,"MMDDYY (e.g., -> 980305).","Never (Every app gets a unique, randomly generated PIN).","Absolutely not, my PIN is completely unrelated to my personal information."
3/27/2026 21:19:09,Completely random numbers with no underlying pattern.,"The 4-digit birth year padded with zeros (e.g., -> 199800 or 001998).",Often (I reuse a few favorite PINs).,"Maybe, it's possible but would require luck."
3/27/2026 21:23:33,bias birthday,"The 4-digit birth year padded with zeros (e.g., -> 199800 or 001998).",Often (I reuse a few favorite PINs).,"Yes, it is highly likely they would guess it."
3/27/2026 21:26:56,"A date (my own birthday, a partner's, or a family member's).","DDMMYY (e.g., -> 050398).",Always (I use one primary PIN for almost everything).,"Yes, it is highly likely they would guess it."
3/27/2026 21:29:55,"A date (my own birthday, a partner's, or a family member's).","DDMMYY (e.g., -> 050398).",Often (I reuse a few favorite PINs).,"Maybe, it's possible but would require luck."
3/27/2026 21:30:49,Completely random numbers with no underlying pattern.,"DDMMYY (e.g., -> 050398).",Often (I reuse a few favorite PINs).,"Absolutely not, my PIN is completely unrelated to my personal information."
3/27/2026 21:36:34,"A date (my own birthday, a partner's, or a family member's).","DDMMYY (e.g., -> 050398).",Often (I reuse a few favorite PINs).,"Yes, it is highly likely they would guess it."
3/27/2026 21:41:04,"Sequential digits on the keypad (e.g., 123456, 654321).","DDMMYY (e.g., -> 050398).",Always (I use one primary PIN for almost everything).,"Yes, it is highly likely they would guess it."
3/27/2026 21:47:11,"A date (my own birthday, a partner's, or a family member's).","YYMMDD (e.g., -> 980305).",Often (I reuse a few favorite PINs).,"Yes, it is highly likely they would guess it."
3/27/2026 22:03:33,Completely random numbers with no underlying pattern.,"DDMMYY (e.g., -> 050398).","Rarely (I try to make them different, but sometimes reuse).","Maybe, it's possible but would require luck."
3/27/2026 22:08:53,"A date (my own birthday, a partner's, or a family member's).","YYMMDD (e.g., -> 980305).",Often (I reuse a few favorite PINs).,"Maybe, it's possible but would require luck."
3/27/2026 23:17:38,A significant anniversary or historical date.,"MMDDYY (e.g., -> 980305).",Always (I use one primary PIN for almost everything).,"Yes, it is highly likely they would guess it."
3/27/2026 23:34:53,"Sequential digits on the keypad (e.g., 123456, 654321).","DDMMYY (e.g., -> 050398).","Rarely (I try to make them different, but sometimes reuse).","Absolutely not, my PIN is completely unrelated to my personal information."
3/28/2026 0:02:10,Completely random numbers with no underlying pattern.,"DDMMYY (e.g., -> 050398).",Always (I use one primary PIN for almost everything).,"Absolutely not, my PIN is completely unrelated to my personal information."
3/28/2026 15:21:50,"A date (my own birthday, a partner's, or a family member's).","DDMMYY (e.g., -> 050398).",Often (I reuse a few favorite PINs).,"Yes, it is highly likely they would guess it."
3/28/2026 16:13:02,"A date (my own birthday, a partner's, or a family member's).","DDMMYY (e.g., -> 050398).",Often (I reuse a few favorite PINs).,"Yes, it is highly likely they would guess it."
3/30/2026 10:34:46,Completely random numbers with no underlying pattern.,"DDMMYY (e.g., -> 050398).",Often (I reuse a few favorite PINs).,"Maybe, it's possible but would require luck."
3/30/2026 12:30:06,"A date (my own birthday, a partner's, or a family member's).","DDMMYY (e.g., -> 050398).",Always (I use one primary PIN for almost everything).,"Maybe, it's possible but would require luck."
4/5/2026 22:23:42,"A date (my own birthday, a partner's, or a family member's).","DDMMYY (e.g., -> 050398).","Rarely (I try to make them different, but sometimes reuse).","Absolutely not, my PIN is completely unrelated to my personal information."
4/5/2026 22:23:56,"A date (my own birthday, a partner's, or a family member's).","DDMMYY (e.g., -> 050398).",Always (I use one primary PIN for almost everything).,"Yes, it is highly likely they would guess it."
4/5/2026 22:28:49,"Repeated digits for speed (e.g., 111111, 222222).","MMDDYY (e.g., -> 980305).",Often (I reuse a few favorite PINs).,"Maybe, it's possible but would require luck."
4/5/2026 22:30:11,"A date (my own birthday, a partner's, or a family member's).","DDMMYY (e.g., -> 050398).",Always (I use one primary PIN for almost everything).,"Yes, it is highly likely they would guess it."
4/5/2026 22:32:18,"A date (my own birthday, a partner's, or a family member's).","DDMMYY (e.g., -> 050398).",Always (I use one primary PIN for almost everything).,"Yes, it is highly likely they would guess it."
4/5/2026 22:32:59,"A date (my own birthday, a partner's, or a family member's).","DDMMYY (e.g., -> 050398).",Always (I use one primary PIN for almost everything).,"Yes, it is highly likely they would guess it."
4/5/2026 22:33:21,"Repeated digits for speed (e.g., 111111, 222222).","The 4-digit birth year padded with zeros (e.g., -> 199800 or 001998).","Rarely (I try to make them different, but sometimes reuse).","Absolutely not, my PIN is completely unrelated to my personal information."
4/5/2026 22:35:21,"A date (my own birthday, a partner's, or a family member's).","DDMMYY (e.g., -> 050398).",Always (I use one primary PIN for almost everything).,"Yes, it is highly likely they would guess it."
4/6/2026 0:52:19,"A date (my own birthday, a partner's, or a family member's).","MMDDYY (e.g., -> 980305).","Rarely (I try to make them different, but sometimes reuse).","Maybe, it's possible but would require luck."
4/6/2026 0:52:22,"A date (my own birthday, a partner's, or a family member's).","DDMMYY (e.g., -> 050398).","Rarely (I try to make them different, but sometimes reuse).","Absolutely not, my PIN is completely unrelated to my personal information."
4/6/2026 0:52:24,A significant anniversary or historical date.,"YYMMDD (e.g., -> 980305).","Never (Every app gets a unique, randomly generated PIN).","Maybe, it's possible but would require luck."
4/6/2026 0:52:26,"Repeated digits for speed (e.g., 111111, 222222).","MMDDYY (e.g., -> 980305).","Never (Every app gets a unique, randomly generated PIN).","Maybe, it's possible but would require luck."
4/6/2026 0:52:28,"Sequential digits on the keypad (e.g., 123456, 654321).",I/They never use dates.,Often (I reuse a few favorite PINs).,"Maybe, it's possible but would require luck."
4/6/2026 0:52:30,"Numbers with cultural or personal significance (e.g., lucky numbers, 000000).","The 4-digit birth year padded with zeros (e.g., -> 199800 or 001998).","Rarely (I try to make them different, but sometimes reuse).","Maybe, it's possible but would require luck."
4/6/2026 0:52:32,"Numbers with cultural or personal significance (e.g., lucky numbers, 000000).","DDMMYY (e.g., -> 050398).","Rarely (I try to make them different, but sometimes reuse).","Yes, it is highly likely they would guess it."
4/6/2026 0:52:34,"Repeated digits for speed (e.g., 111111, 222222).","The 4-digit birth year padded with zeros (e.g., -> 199800 or 001998).",Often (I reuse a few favorite PINs).,"Yes, it is highly likely they would guess it."
4/6/2026 0:52:37,"Sequential digits on the keypad (e.g., 123456, 654321).","YYMMDD (e.g., -> 980305).",Often (I reuse a few favorite PINs).,"Yes, it is highly likely they would guess it."
4/6/2026 0:52:39,"A date (my own birthday, a partner's, or a family member's).","MMDDYY (e.g., -> 980305).",Often (I reuse a few favorite PINs).,"Absolutely not, my PIN is completely unrelated to my personal information."
4/6/2026 0:52:42,"A date (my own birthday, a partner's, or a family member's).",I/They never use dates.,"Never (Every app gets a unique, randomly generated PIN).","Maybe, it's possible but would require luck."
4/6/2026 0:52:45,Completely random numbers with no underlying pattern.,"The 4-digit birth year padded with zeros (e.g., -> 199800 or 001998).","Never (Every app gets a unique, randomly generated PIN).","Yes, it is highly likely they would guess it."
4/6/2026 0:52:47,"Numbers with cultural or personal significance (e.g., lucky numbers, 000000).","The 4-digit birth year padded with zeros (e.g., -> 199800 or 001998).",Always (I use one primary PIN for almost everything).,"Maybe, it's possible but would require luck."
4/6/2026 0:52:50,"Sequential digits on the keypad (e.g., 123456, 654321).",I/They never use dates.,"Rarely (I try to make them different, but sometimes reuse).","Maybe, it's possible but would require luck."
4/6/2026 0:52:52,A significant anniversary or historical date.,"MMDDYY (e.g., -> 980305).","Rarely (I try to make them different, but sometimes reuse).","Absolutely not, my PIN is completely unrelated to my personal information."
4/6/2026 0:52:54,"Numbers with cultural or personal significance (e.g., lucky numbers, 000000).","The 4-digit birth year padded with zeros (e.g., -> 199800 or 001998).",Often (I reuse a few favorite PINs).,"Yes, it is highly likely they would guess it."
4/6/2026 0:52:56,A significant anniversary or historical date.,I/They never use dates.,Often (I reuse a few favorite PINs).,"Absolutely not, my PIN is completely unrelated to my personal information."
4/6/2026 0:52:58,"Repeated digits for speed (e.g., 111111, 222222).","The 4-digit birth year padded with zeros (e.g., -> 199800 or 001998).","Never (Every app gets a unique, randomly generated PIN).","Yes, it is highly likely they would guess it."
4/6/2026 0:53:00,"A date (my own birthday, a partner's, or a family member's).","YYMMDD (e.g., -> 980305).","Rarely (I try to make them different, but sometimes reuse).","Maybe, it's possible but would require luck."
4/6/2026 0:53:02,"A date (my own birthday, a partner's, or a family member's).","MMDDYY (e.g., -> 980305).","Never (Every app gets a unique, randomly generated PIN).","Yes, it is highly likely they would guess it."
4/6/2026 0:53:04,"Sequential digits on the keypad (e.g., 123456, 654321).",I/They never use dates.,"Rarely (I try to make them different, but sometimes reuse).","Yes, it is highly likely they would guess it."
